repo,commit,high_conf,med_conf,low_conf,high_sev,med_sev,low_sev,unique_cwes,total_no_unique_cwes
letta,605f1ab415b73735376af8494d7fe6fc4c66b73e,3618,35,113,25,158,3583,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,6427ed83c30cdc7a839379abe4146ad0ac5dc438,3703,35,113,25,158,3668,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,694b8b3aeb389777d7c4b9bffe518e33aef82108,3747,36,113,25,159,3712,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,6baca7997f8c4dd88c5fdae2c041dbb18dab1d23,3596,35,113,25,158,3561,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,6fdcb49f1715c2a8fed4c3b0665087b7ad4e31da,3669,35,113,25,158,3634,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,759577ffeeac321bdbf49acf3b2741b43557632b,3712,36,113,25,159,3677,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,76b3560be435f49e6e1988231b981e2916345a89,3746,38,113,25,161,3711,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,777b4831c5e194591aa17151f2e2274f35a1c9e3,3746,38,113,25,161,3711,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,7d834ed5376a3e786eeb882ab84215b674193992,3734,36,113,25,159,3699,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,7f2b732c85722e16047e91a06260727171aad4b1,3598,35,112,25,157,3563,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,7f71752d4bbd53548c125d52dff522836e0951d1,3635,37,113,25,160,3600,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,7fc87d85c354cc9eb2b81534d04f85b081d68b3a,3598,35,113,25,158,3563,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,8302c00368ced81253d2dd48a2b83c4430cfdbde,3681,35,113,25,158,3646,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,83e4aba800462aad3d0511e2a5c35cad0a204b08,3618,35,113,25,158,3583,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,84518ae3fc6ffa251bc7818d26db0edbca3d90cc,3682,35,113,25,158,3647,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,8602dae3168f5a5b354260ca58e6a97b061f8523,3753,38,113,25,161,3718,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,8a17daedd0caade8104e891e8710f791e29c064d,3746,38,113,25,161,3711,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,8d060a0f345653b7b89f172f58871fe2a1c1158e,3712,36,113,25,159,3677,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,900d1c658c3562518b5fa2d12fdc40ad0910b584,3631,37,113,25,160,3596,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,906308fb0ab93bedf63b8a15e28167da2df7fa2a,3622,35,113,25,158,3587,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,917eae4edfc4a08365d1659784977730b380f33d,3656,37,112,25,159,3621,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,94f3449aee98e121bfb33b01181b902abb307bb9,3682,35,113,25,158,3647,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,95cd18819680c837baa088ac57dfa8842bbf58db,3598,35,112,25,157,3563,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,963ec482b29bb07a070045b2fc0783e070c64a96,3629,35,114,25,159,3594,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,9b67df8d2dd6e264a9f01d8e624a8ababc947032,3753,38,113,25,161,3718,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,a173b1a0959f3404c3fcc9f7a27d4b58baa490e3,3700,35,113,25,158,3665,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,a3507821930366a2f6de76b22e0b7de08729a20e,3663,35,114,25,159,3628,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,b0f9e954e5219050372127c1b74120edcefe216d,3746,38,113,25,161,3711,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,b10f20863a96a2b0001481e3362ef0f70e0d2381,3719,37,113,25,160,3684,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,b9e450f9732e82bbbf96d5bea1ef046d7605681c,3656,37,112,25,159,3621,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,ba8b10fb367aefb2abc58bd9e5310e7396e7560a,3622,35,113,25,158,3587,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,bd57bad3ebf8f64624d6cbe62241809f6e87ff2d,3596,35,113,25,158,3561,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,c2896a9c56d13a29ca2c23ca0b1cb9f0d21796bf,3700,35,113,25,158,3665,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,c49672a1879cf32da1ec2b11e11bbdaca014971f,3656,35,114,25,159,3621,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,c617c48fb7121dbf091f2ffd6b1ca5f31d949274,3629,35,114,25,159,3594,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,c802e94fdc8ca2e7d370523defb4c14a3fc6f248,3681,35,113,25,158,3646,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,cc0d97b26d0e8552fa6883284e48b6c82e2b05ac,3669,35,113,25,158,3634,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,d06abc26d4775d3cc267e7d25c97ba38e337c28d,3599,35,113,25,158,3564,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,d0aaa8ecb74cedfb0a76b840331b7ec130d9bcf8,3735,36,113,25,159,3700,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,d29553256687eda9a5c90fc1abde6c139a52c05e,3642,37,114,25,161,3607,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,d7e1a5e76502eabfd21ad6797b2880b40936e6b7,3621,35,114,25,159,3586,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,d8bf1cbca9c1d09eca7b958ebd574939b2c72ba7,3682,35,113,25,158,3647,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,d8c696f105d953d46f2f4afd95c7af820df2d52d,3642,37,114,25,161,3607,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,db765d461577a194b557588e33f0f03159f4fe98,3618,35,113,25,158,3583,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,db9e4cc53fb6f6f43687193715fcec2cf3a597b0,3597,35,112,25,157,3562,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,df0de3b4126c6deea4758db230fbdb38efecfbb6,3656,37,112,25,159,3621,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,e1f753cd5e20ec696249fa32178358e62ba1dfaa,3622,35,113,25,158,3587,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,e43d635d1826368000c4a26e0c9fd52421593338,3747,38,113,25,161,3712,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,e4d8272818a77a49bca18d58fe327e23ce65b4e4,3712,36,113,25,159,3677,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,e8f455123949500000dfd0024cb71b1364201c84,3734,36,113,25,159,3699,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,ebc5c5a04c337f2b38166378624c488f7943c708,3596,35,113,25,158,3561,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
letta,ee6180fdebc722061d8e869b93c0edaaf75210bc,3629,35,114,25,159,3594,"[259, 327, 377, 330, 78, 400, 20, 502, 22, 89, 732, 605, 94, 703]",14
